Date,Meter,Usage
7/2/22,,
8/1/22,,545
9/1/22,,674
10/3/22,,591
11/1/22,,544
12/2/22,,458
1/3/23,,462
2/1/23,,466
3/2/23,,360
3/31/23,,413
4/6/23,0,83
5/2/23,99801,
6/6/23,99234,
#6/27/23,99090,
6/30/23,99101,
7/16/23,99084,
8/1/23,99052,
8/31/2023,98929,
9/29/2023,98861,
#10/11/2023,98979,
#10/13/2023,98995,
#10/16/2023,99050,
#10/31/2023,99179, # Viking trip
11/1/2023,99209, # National Grid
#11/4/2023,99275,
#11/10/2023,99351,
#11/19/2023,99475,
12/1/2023,99608, # National Grid
1/3/2024,181, # National Grid
2/1/2024,646, # NG
3/1/2024,805, # NG
4/1/2024,557, # NG
5/1/2024,472, # NG
6/1/2024,364, # NG
7/1/2024,220, # NG
